Código de tienda,Nombre de la empresa,Dirección,Etiquetas,Puntuación general,Total de búsquedas,Búsquedas directas,Búsquedas indirectas,Total de visualizaciones,Visualizaciones en la Búsqueda,Visualizaciones en Maps,Total de acciones,Acciones de visita al sitio web,Acciones de solicitud de indicaciones,Acciones de llamada telefónica
,,,,Puntuación general de esta ficha desde la fecha en que se generó el informe,Número de veces que los clientes han encontrado esta ficha al realizar búsquedas en la Búsqueda de Google o Maps,Número de veces que los clientes han encontrado esta ficha al buscar el nombre o la dirección de la empresa en la Búsqueda de Google o Maps,"Número de veces que los clientes han encontrado esta ficha al buscar la categoría, el producto o el servicio en la Búsqueda de Google o Maps",Número de veces que se ha visto esta ficha en la Búsqueda de Google o Maps,Número de veces que se ha visto esta ficha en la Búsqueda de Google,Número de veces que se ha visto esta ficha en Google Maps,Número de veces que los clientes han realizado alguna acción relacionada con esta ficha en la Búsqueda de Google o Maps,Número de veces que los clientes han visitado el sitio web desde esta ficha,Número de veces que los clientes han solicitado indicaciones desde esta ficha,Número de veces que los clientes han llamado a la empresa desde esta ficha
,Colprinter Ricaurte,"Carrera 28 #1070, Local 219 C.C. Las Estrellas, Bogotá, Cundinamarca",,"4,3",3532,59,3473,4564,1555,3009,14,3,3,8
,Colprinter Bogotá - Imprenta de artículos publicitarios,"Cl. 16 #2130, Bogotá, El Listón",,"4,7",1765,205,1560,2168,887,1281,23,6,13,4
,Colprinter Bogotá - Imprenta de artículos publicitarios,"Calle 16 #2130, Bogotá",,"4,3",2446,354,2092,3142,1453,1689,7,4,1,2
,Colprinter Bogotá - Ecoparque,"Tv 22 No 17-60, Bogotá","empaques secundarios, calendarios y material pop","5,0",677,0,677,710,222,488,1,0,0,1
