Código de tienda,Nombre de la empresa,Dirección,Etiquetas,Calificación general,Total de búsquedas,Búsquedas directas,Búsquedas de descubrimiento,Vistas totales,Vistas de la Búsqueda,Vistas de Maps,Total de acciones,Acciones en el sitio web,Acciones de instrucciones sobre cómo llegar,Acciones de llamadas telefónicas
,,,,Calificación general de esta ficha a la fecha en que se generó el informe,Cantidad de veces que los clientes encontraron esta ficha al realizar búsquedas en la Búsqueda de Google o Google Maps,Cantidad de veces que los clientes encontraron esta ficha al buscar la empresa por nombre o dirección en la Búsqueda de Google o Google Maps,"Cantidad de veces que los clientes encontraron esta ficha al buscar la categoría, el producto o el servicio en la Búsqueda de Google o Google Maps",Cantidad de veces que los usuarios vieron esta ficha en la Búsqueda de Google o Google Maps,Cantidad de veces que los usuarios vieron esta ficha en la Búsqueda de Google,Cantidad de veces que los usuarios vieron esta ficha en Google Maps,Cantidad de veces que los clientes realizaron una acción relacionada con esta ficha en la Búsqueda de Google o Google Maps,Cantidad de veces que los clientes accedieron al sitio web desde esta ficha,Cantidad de veces que los clientes solicitaron instrucciones sobre cómo llegar desde esta ficha,Cantidad de veces que los clientes llamaron a la empresa desde esta ficha
,Agropinos,"Cra. 2 #3-55, Fómeque, Cundinamarca, Fomeque, cundinamarca","Geomembranas, Guayas para invernadero, Insumos para invernadero, Mallas para invernadero, mangueras para riego, Plásticos para invernadero, productos para el agro, Sistemas de riego, Tanques de almacenamiento para agua, Telas para invernadero","5,0",218,23,195,405,118,287,3,0,0,3
001,Agropinos Chia - Productos para el agro -Sistemas de Riego,"C.C. Centro Chía Local 11-09/11-10, Chía, Cundinamarca","Geomembranas, Guayas para invernadero, Insumos para invernadero, Mallas para invernadero, mangueras para riego, Plásticos para invernadero, productos para el agro, Sistemas de riego, Tanques de almacenamiento para agua, Telas para invernadero","5,0",2183,207,1976,3105,1088,2017,59,7,3,49
003,Agropinos,"Carrera 2#4-54, Sutamarchán, Boyacá","Geomembranas, Guayas para invernadero, Insumos para invernadero, Mallas para invernadero, mangueras para riego, Plásticos para invernadero, productos para el agro, Sistemas de riego, Tanques de almacenamiento para agua, Telas para invernadero","0,0",419,32,387,739,84,655,7,0,2,5
,Agropinos,"Av. 3 Norte No. 47 n – 16 Barrio la Merced, Cali, Valle del Cauca","Geomembranas, Guayas para invernadero, Insumos para invernadero, Mallas para invernadero, mangueras para riego, Plásticos para invernadero, productos para el agro, Sistemas de riego, Tanques de almacenamiento para agua, Telas para invernadero","0,0",80,24,56,188,27,161,7,0,4,3
002,Agropinos Duitama - Insumos para invernadero - Productos para el Agro,"n. 23 82, Av. Circunvalar, Duitama, Boyacá","Geomembranas, Guayas para invernadero, Insumos para invernadero, Mallas para invernadero, mangueras para riego, Plasticos para invernadero, Polisombras, productos para el agro, Sistemas de riego, Tanques de almacenamiento para agua","5,0",1924,278,1646,2846,250,2596,30,2,7,21
