Código de tienda,Nombre de la empresa,Dirección,Etiquetas,Calificación general,Total de búsquedas,Búsquedas directas,Búsquedas de descubrimiento,Vistas totales,Vistas de la Búsqueda,Vistas de Maps,Total de acciones,Acciones en el sitio web,Acciones de instrucciones sobre cómo llegar,Acciones de llamadas telefónicas
,,,,Calificación general de esta ficha a la fecha en que se generó el informe,Cantidad de veces que los clientes encontraron esta ficha al realizar búsquedas en la Búsqueda de Google o Google Maps,Cantidad de veces que los clientes encontraron esta ficha al buscar la empresa por nombre o dirección en la Búsqueda de Google o Google Maps,"Cantidad de veces que los clientes encontraron esta ficha al buscar la categoría, el producto o el servicio en la Búsqueda de Google o Google Maps",Cantidad de veces que los usuarios vieron esta ficha en la Búsqueda de Google o Google Maps,Cantidad de veces que los usuarios vieron esta ficha en la Búsqueda de Google,Cantidad de veces que los usuarios vieron esta ficha en Google Maps,Cantidad de veces que los clientes realizaron una acción relacionada con esta ficha en la Búsqueda de Google o Google Maps,Cantidad de veces que los clientes accedieron al sitio web desde esta ficha,Cantidad de veces que los clientes solicitaron instrucciones sobre cómo llegar desde esta ficha,Cantidad de veces que los clientes llamaron a la empresa desde esta ficha
,"Hard Body 147 | Ejercicio físico, entrenamientos y rutinas de gimnasio","Carrera 7b #146-90, Bogotá, Bogota, Cundinamarca",,"4,0",10628,1640,8988,15563,1658,13905,287,13,266,8
,Hard Body 147,"Cra. 7 #146-90, Bogotá, Cundinamarca",,"4,1",47780,3255,44525,64584,19881,44703,537,81,293,163
,Hard Body Modelia,"Avenida Esperanza, Calle 24 # 73 F 07, Bogotá, Modelia",,"4,2",57082,16566,40516,95564,10801,84763,688,70,491,127
,Hard Body 109,"Calle 109 #14A-34, Bogotá",,"3,7",87752,48426,39326,184228,11233,172995,532,50,433,49
,Hard Body Chía,"Carrera 1 #05-30, Chia, Cundinamarca",,"4,0",28164,7903,20261,44619,8673,35946,857,81,549,227
,Hard Body 170,"Cl. 169 #67-61, Bogotá, Cundinamarca",,"3,8",62958,17394,45564,98383,22747,75636,1266,100,825,341
